26.55%,78,,Ecovadis,"Depuis sa création en 2007, EcoVadis est devenu le plus grand et le plus fiable des organismes de notation de la durabilité et de la Responsabilité Sociétale des Entreprises (RSE), créant un réseau mondial de plus de 75 000 entreprises évaluées.",https://ecovadis.com/fr/,1,France,,,,,,Privé,Produit,,,,A définir,Elevée,Abonnement,0,1,,,TBD,N,,,,N,,N,https://ecovadis.com/fr/,,,,,01.82.28.88.88,marketing@ecovadis.com,Mail adresse générique envoyé le 26/04/2021 (marketing@ecovadis.com),,Tom Popa,Julien Cazabat,En cours,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
35.40%,79,,EIDER,"Le service des données et études statistiques (SDES) a pour mission d'organiser le système d’observation socio-économique et statistique en matière de logement, de construction, de transports, d’énergie, d’environnement et de développement durable, en liaison avec les institutions nationales, européennes et internationales intéressées.",,1,France,,,1987,,51-200,Public,Organisme,,,,Moyenne,Basse,Open Data,1,0,,,RSE,N,,,,N,,N,,https://www.data.gouv.fr/fr/datasets/entrepot-d-indicateurs-et-de-donnees-sur-l-environnement-eider/,Jérôme Barret,,"5, route d'Olivet
45100 ORLEANS - 02.38.79.78.78  

Tour Voltaire 92055 La Défense - 
01.40.81.60.68                                                                                                     ",,,09/03/2021,"09/03/2021 avec 
Jérôme Barret",QLU,Antoine Ngo,Fini,Sans objet,,Open Data,,N,N,N,,,,,,,,,,,Data,,,,,,,France,,,"jusqu'à 1975 
pour certaines séries",2017 en open source,oui,oui,oui,"Les bases ne sont plus actives depuis 2017. 
Néanmoins suite au contact téléphonique, EIDER sont très intéressés pour travailler avec nous. 
-> Je vais renvoyer un mail pour définir précisément notre besoin
 -> peuvent nous fournir de la données s'ils l'ont à disposition ;
 données nationales/régionales/départementales 
sur les transport, environnement, énergie, eau, déchet, émission atmosphérique, risque technologique etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
34.51%,80,,Encore,"ENCORE (Exploring Natural Capital Opportunities, Risks and Exposure) is a tool to help users better understand and visualise the impact of environmental change on the economy.",https://encore.naturalcapital.finance/en,1,Suisse,,,,,,Public,Organisme,,,,Basse,Basse,Open Data,1,0,,,Physique / Transition,N,O,O,N,N,,N,https://encore.naturalcapital.finance/en,https://encore.naturalcapital.finance/en/data-and-methodology/data,Sans objet,,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Tom Popa,Florian Renault,Non commencé,Sans objet,,Open Data,,N,N,N,.xml,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
24.78%,81,,Environment Agency (EA),,,1,US,,,1994,20 811 900,51-200 ,Public,Organisme,,,,Basse,Basse,Open Data,1,0,,,,N,,,,N,,N,,https://www.gov.uk/government/organisations/environment-agency,,,,,,,,Romain Berrou,Soukaina TAZROUTI,Fini,Sans objet,,Open Data,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,pas de données publiées mais plutôt des reporting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
6.19%,82,,Environmental resources management ERM,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
23.89%,83,,ESA,,https://earth.esa.int/,1,France,,,,,,Public,Market,,,,A définir,Elevée,Abonnement,0,1,,,,N,,,,N,,N,https://earth.esa.int/,,,,"ESA HQ Bertrand:
24 rue du Général Bertrand, 75345 Paris CEDEX 7, France",Tel: +33 1 53 69 76 54 // Fax: +33 1 53 69 75 60,,,,Tom Popa,Julien Cazabat,Non commencé,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
37.17%,84,,Etalab,"Etalab1,2 est une administration publique française qui vise à améliorer le service public et l'action publique grâce aux données.

Etalab contribue ainsi à la transformation de l'action publique et à l'innovation publique grâce au numérique. Faisant ainsi office de directeur des données de l'État, Etalab coordonne la stratégie de l'administration dans le domaine de la donnée : partage des données ouvertes (""open data""), circulation des données entre administrations, exploitation des données et intelligence artificielle.... Etalab développe et maintient notamment la plateforme nationale des données ouvertes data.gouv.fr.",https://www.etalab.gouv.fr/,1,France,France,,2011,,,Public,Administration publique,DINUM,DVF,Base notariale,Moyenne,Basse,Open Data,1,0,,,Autres,N,,,,N,,N,,,,,,,,,,Sarah DAYMIER,Sarah DAYMIER,En cours d'analyse,Sans objet,,Open Data,Sarah DAYMIER,O,En cours,O,JSON,O,,,,,,,,,Data,,,,April 2021,,,France DOM TOM,,,2014,April 2021,O,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
46.90%,85,,Etalab ,"Etalab est une administration publique française qui vise à améliorer le service public et l'action publique grâce aux données.

Etalab contribue ainsi à la transformation de l'action publique et à l'innovation publique grâce au numérique. Faisant ainsi office de directeur des données de l'État, Etalab coordonne la stratégie de l'administration dans le domaine de la donnée : partage des données ouvertes (""open data""), circulation des données entre administrations, exploitation des données et intelligence artificielle.... Etalab développe et maintient notamment la plateforme nationale des données ouvertes data.gouv.fr.",https://www.data.gouv.fr/fr/,3,France,France,secteur d'activité des administrations publiques,2011,NC,NC,Public,Administration publique,Direction interministérielle du numérique et du système d'information et de communication de l'État,Prix carburant,Prix de vente moyens nationaux hebdomadaires des produits pétroliers ,Basse,Basse,Open Data,1,0,France,Statistique officielle,Autre,N,N,N,N,N,O,N,"https://www.prix-carburants.gouv.fr/contact
https://www.prix-carburants.gouv.fr/rubrique/opendata/",https://www.prix-carburants.gouv.fr/actualites/ ,Site web pour contact,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Zoe Marquoin,Ahlam El Fatmi,Fini,Sans objet,A analyser,Open Data,,N,N,N,,,,,,,,,,,Data,,,,,,,France /Europe,,,,,,,,J'ai envoyé le formulaire de contact via le site==> en attente du retour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
41.59%,86,,Etalab ,"Etalab est une administration publique française qui vise à améliorer le service public et l'action publique grâce aux données.

Etalab contribue ainsi à la transformation de l'action publique et à l'innovation publique grâce au numérique. Faisant ainsi office de directeur des données de l'État, Etalab coordonne la stratégie de l'administration dans le domaine de la donnée : partage des données ouvertes (""open data""), circulation des données entre administrations, exploitation des données et intelligence artificielle.... Etalab développe et maintient notamment la plateforme nationale des données ouvertes data.gouv.fr.",https://www.data.gouv.fr/fr/,3,France,France,secteur d'activité des administrations publiques,2011,NC,NC,Public,Administration publique,Direction interministérielle du numérique et du système d'information et de communication de l'État,RSE SNCF,,Basse,Basse,Open Data,1,0,France,SNCF,RSE,N,N,N,O,N,,N,https://www.data.gouv.fr/fr/datasets/indicateurs-rse-de-sncf-reseau-depuis-2016/,,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sarah Daymier,Sarah DAYMIER,Non Commencé,Sans objet,,Open Data,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
44.25%,87,,Etalab ,"Etalab est une administration publique française qui vise à améliorer le service public et l'action publique grâce aux données.

Etalab contribue ainsi à la transformation de l'action publique et à l'innovation publique grâce au numérique. Faisant ainsi office de directeur des données de l'État, Etalab coordonne la stratégie de l'administration dans le domaine de la donnée : partage des données ouvertes (""open data""), circulation des données entre administrations, exploitation des données et intelligence artificielle.... Etalab développe et maintient notamment la plateforme nationale des données ouvertes data.gouv.fr.",https://www.data.gouv.fr/fr/,3,France,France,secteur d'activité des administrations publiques,2011,NC,NC,Public,Administration publique,Direction interministérielle du numérique et du système d'information et de communication de l'État,"Nouveau zonage d'exposition au retrait-gonflement des argiles : plus de 10,4 millions de maisons individuelles potentiellement très exposées","Les mouvements de sol induits par le retrait-gonflement des argiles et amplifiés par les épisodes de sécheresse constituent un risque majeur en raison des dégâts matériels qu’ils provoquent. Ce phénomène représente 20 % des arrêtés de catastrophe naturelle et 36 % des coûts d’indemnisation. L’exposition forte ou moyenne au retrait-gonflement des argiles concerne 48 % des sols métropolitains. De nouvelles dispositions réglementaires de prévention du risque de sécheresse géotechnique s’appliquent dans ces zones (article 68 de la loi Elan). 10,4 millions de maisons individuelles y sont présentes, dont près de la moitié bâties après 1976. Leur répartition selon les périodes de construction révèle des disparités territoriales.
Le SDES a mis à jour l'indicateur d’exposition des maisons individuelles au retrait-gonflement des argiles par commune, qu'il avait produit en 2017, pour tenir compte du nouveau zonage de l'aléa prévu dans le cadre de la loi Elan.",Basse,Basse,Open Data,1,0,France,,Physique,N,O,N,N,N,,N,https://www.statistiques.developpement-durable.gouv.fr/nouveau-zonage-dexposition-au-retrait-gonflement-des-argiles-plus-de-104-millions-de-maisons,,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,Sarah Daymier,Sarah DAYMIER,Fini,Open data,,Open Data,,N,N,N,,,,,,,,,,,Data,O,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
25.66%,88,,Ethifinance (FR),"EthiFinance is a non-financial research and consulting firm and assists investors and companies in their strategic management of Environmental, Social and Governance risks (ESG) ",https://www.ethifinance.com/,1,France,,,,,,Privé,Produit,,,,A définir,Elevée,Abonnement,0,1,,,,N,,,,N,,N,https://www.ethifinance.com/,,,,23 rue de Liège – 75008 Paris,+33 (0)1 39 62 13 22,,26/04/2021: email envoyé via le formulaire automatique mis à disposition sur le site,,Tom Popa,Julien Cazabat,En cours,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
25.66%,89,,Ethos (Suisse),"Ethos, Fondation suisse pour un développement durable, regroupe actuellement 225 caisses de pension et fondations d’utilité publique. Créée en 1997, la Fondation Ethos a pour buts de promouvoir l’investissement socialement responsable (ISR) et de favoriser un environnement socio-économique stable et prospère au bénéfice de la société civile actuelle et future. ",https://www.ethosfund.ch/fr/home,1,Suisse,,,,,,Privé,Produit,,,,A définir,Elevée,Abonnement,0,1,,,,N,,,,N,,N,https://www.ethosfund.ch/fr/home,,,,"Place de Pont-Rouge 1, Case Postale 1051, CH-1211 Genève 26
","T +41 22 716 15 55
F +41 22 716 15 56",,23/04/2021: email envoyé via le formulaire automatique mis à disposition sur le site,,Tom Popa,Julien Cazabat,En cours,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
31.86%,90,,European Commission,"La Commission européenne est l'une des principales institutions de l'Union européenne. La fonction principale de la Commission européenne est de proposer (initiative législative) et de mettre en œuvre les politiques communautaires. « Gardienne des traités », elle veille à leur application et jouit d'un quasi-monopole du droit d'initiative dans le domaine des compétences exclusives de l'Union, comme l'union douanière, la préservation des ressources biologiques de la mer, le marché intérieur, la monnaie unique. ",https://edgar.jrc.ec.europa.eu,3,Belgique,Europe,"Institution de l'Union européenne, pouvoir exécutif",1958,NC,32400,Public,Administration,Union Européenne,Global Greenhouse Gas Emissions,EDGAR aims to inform scientists and policy makers on the evolution of the emission inventories over time for all world countries and to provide the scientific community 0.1deg x 0.1deg gridmaps representing the emissions sources.,Elevée,Moyenne,Open Data,1,0,Monde,,Transition,N,N,O,N,N,N,N,https://edgar.jrc.ec.europa.eu/dataset_ghg60,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
31.86%,91,,European Commission,"La Commission européenne est l'une des principales institutions de l'Union européenne. La fonction principale de la Commission européenne est de proposer (initiative législative) et de mettre en œuvre les politiques communautaires. « Gardienne des traités », elle veille à leur application et jouit d'un quasi-monopole du droit d'initiative dans le domaine des compétences exclusives de l'Union, comme l'union douanière, la préservation des ressources biologiques de la mer, le marché intérieur, la monnaie unique. ",https://edgar.jrc.ec.europa.eu,3,Belgique,Europe,"Institution de l'Union européenne, pouvoir exécutif",1958,NC,32400,Public,Administration,Union Européenne,Global Air Pollutant Emissions,EDGAR aims to inform scientists and policy makers on the evolution of the emission inventories over time for all world countries and to provide the scientific community 0.1deg x 0.1deg gridmaps representing the emissions sources.,Elevée,Moyenne,Open Data,1,0,Monde,,Transition,N,N,O,N,N,N,N,https://edgar.jrc.ec.europa.eu/dataset_ap50,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
30.97%,92,,European Commission,"La Commission européenne est l'une des principales institutions de l'Union européenne. La fonction principale de la Commission européenne est de proposer (initiative législative) et de mettre en œuvre les politiques communautaires. « Gardienne des traités », elle veille à leur application et jouit d'un quasi-monopole du droit d'initiative dans le domaine des compétences exclusives de l'Union, comme l'union douanière, la préservation des ressources biologiques de la mer, le marché intérieur, la monnaie unique. ",https://edgar.jrc.ec.europa.eu,3,Belgique,Europe,"Institution de l'Union européenne, pouvoir exécutif",1958,NC,32400,Public,Administration,Union Européenne,EDGAR-FOOD,,Elevée,Moyenne,Open Data,1,0,Monde,,Transition,N,N,O,N,N,N,N,https://edgar.jrc.ec.europa.eu/edgar_food,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
37.17%,93,,Eurostat,,https://ec.europa.eu,1,UE,,,,,,Public,Organisme,,,Base de donnée officielle de l'Union Européenne,Moyenne,Basse,Open Data,1,0,,,Physique / Transition,N,O,O,N,N,N,N,"Site web pour contact
https://ec.europa.eu/eurostat/data/database",https://ec.europa.eu/eurostat/web/climate-change/data/database,Sans objet,Sans objet,Sans objet,Sans objet,Sans objet,,,Zoe Marquoin,Florian Renault,Non commencé,Sans objet,,Open Data,,N,N,"Oui
https://ec.europa.eu/eurostat/web/main/data/metadata",".xlsx, .csv",,,,,,,,,,Data,,,,quotidienne,,,Europe,,,selon la base de donnée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
19.47%,94,,F427,"Four Twenty Seven blends economic modeling with climate science to help you reduce risks, identify new opportunities, and build resilience in the face of climate chang",http://427mt.com/,1,US,,,,,,Privé,Market,,Physical risk scoring,,Elevée,,,,,,,Physique,N,,,,N,,N,http://427mt.com/,,,,,,,,,Romain Berrou,Ahlam el Fatmi,,,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
21.24%,95,,Factset,,,1,US,,,,,,Privé,Market,,,,A définir,Elevée,Abonnement,0,1,,,TBD,N,,,,N,,N,,,,,,,,,,Tom Popa,Julien Cazabat,Non commencé,N,,,,N,N,N,,,,,,,,,,,Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
32.74%,96,,FinanceForTomorrow (F4T),,https://financefortomorrow.com/,1,France,,,2017,,2-10,Public,Organisme,,,,Elevée,Basse,Open Data,1,0,,,Physique,N,,,,N,,N,https://financefortomorrow.com/,,"
Pierre-Alix BINET
Raphaël LEBEL",Responsable des programmes et du développement/Head of programs and strategic development,"Palais Brongniart – 28, place de la Bourse, 75002 Paris",+ 33 (0)1 70 98 06 33 / +33 (0)6 61 75 22 85,,Rdv pris le 29/03/2021,13/04/2021,Cyril Regnier,Guillaume Sevellec,Fini,Sans objet,Echange sur les pratiques,Open Data,,N,N,N,,,,,,,,,,,Report,,,,,,,,,,,,,,,"Echange réalisé le 13/04 via Marion Nibourel (La Place Fintech). Les données sont macro et F4T accepterait de travailler avec nous. 
Ils proposent éventuellement de mettre en place un collège scientifique indépendant pour trancher sur la qualité de la donnée 
Prochaine réunion d'échange en juin et F4T pourrait participer à un DOMEX RSE/FinDur/Risque Clim
Nous les retrouverons lors des ateliers sur les stress scenarios avec l'ADEME",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
76.99%,97,,Fitch Solutions,"Données de Fitch Ratings, recherche sur le crédit de Fitch Ratings, recherche sectorielle, données fondamentales pour les institutions financières, les souverains, les assurances et les entreprises, modèles d'évaluation et de notation du risque de crédit, Leveraged Finance Insights et Covenant Review.",https://www.fitchsolutions.com,1,London,Monde,,2008,,501-1 000 employés,Privé,Market,,Fitch ESG Score,"Le groupe Finance durable de Fitch a guidé nos analystes de crédit pour identifier les questions de crédit ESG spécifiques à un secteur qui se rapportaient à chacune des catégories de questions générales, qui sont divisées en trois grands groupes : Environnemental, Social et Gouvernance. Ces questions générales sont standardisées pour tous les secteurs d'un groupe analytique particulier, mais différentes pour les entités non souveraines et souveraines (y compris les gouvernements d'État et locaux). Les catégories de problèmes généraux de gouvernance sont différentes pour les transactions de financement structuré et les programmes d'obligations sécurisées. Pour certains secteurs, il y avait une ou plusieurs catégories d'émissions générales qui n'étaient pas significatives pour la qualité de crédit des entités de ce secteur. Dans ce cas, la mention ""n.a."" a été saisie à la place d'une question spécifique au secteur.

La case Référence met en évidence le(s) facteur(s) spécifique(s) des critères de notation dans lesquels les questions ESG correspondantes sont prises en compte dans l'analyse de crédit de Fitch.

Pour accéder aux données du Score de Pertinence ESG au niveau de l'émetteur, un flux de données est disponible. Veuillez contacter joo-yung.lee@fitchsolutions.com pour plus d'informations.",Elevée,Elevée,Abonnement,0,1,Monde,Etats/compagnies,Transition/RSE/Gouvernance ,N,N,O,O,O,O,N,https://www.fitchratings.com/site/esg,https://www.fitchsolutions.com/products/fitch-ratings-esg-relevance-scores-data?utm_campaign=ESG.RS-Data&utm_medium=referral&utm_source=fitch-ratings&utm_content=lnk4&utm_term=esg-prod-body,-sherylee.gregory@fitchsolutions.com   -,,"60 Rue de Monceau,  75008 Paris, France
Aymeric POIZOT, HO Investors Development, +33 1 44 29 92 76, aymeric.poizot@fitchratings.com
Charlotte QUINIOU, Directeur Général EMEA, + 33 1 44 29 92 81, charlotte.quiniou@fitchratings.com
Beatrice HUE, BRM Regional, + 33 1 44 29 91 72, beatrice.hue@fitchratings.com",,,02/06/2021,à fixer par sherylee gregory pour un deuxième rendez-vous,Romain Berrou,Soukaina TAZROUTI,En cours,N,,N,Soukaina Tazrouti,O,O,O,Excel,,O,N,N,N,N,,,,Data,N,N,O,,,N,Monde,Compagnies/Etats,N,,,N,N,N,,N,N,N,N,N,N,N,N,N,O,N,N,N,O,O,,,,,O,O,N,N,O,O,,,N,N,N,OK,,,#REF!,,Les documents envoyés par Fitch sont des captures d'écran des scores des compagnies sur leur site et ne permettent pas de juger la qualité de la donnée
79.65%,98,,FTSE Russell,"FTSE Russell est une dénomination commerciale de FTSE International Limited, Frank Russell Company, FTSE
Global Debt Capital Markets Limited (et de ses filiales FTSE Global Debt Capital Markets Inc. et
MTSNext Limited), Mergent, Inc. et FTSE Fixed Income LLC, The Yield Book Inc et Beyond Ratings.FTSE Russell est racheté par refinitiv",https://www.ftserussell.com/,1,UK,Monde,,1995,"2,44 milliards",1 001-5 000,Privé,Market,,,,Elevée,Elevée,Abonnement,0,1,,"rapports publics des analystes du FTSE Russell.
publiquement disponibles par les analystes de FTSE Russell. Les entreprises sont également invitées à fournir des informations plus détaillées
détaillées lorsque la ventilation des revenus par sous-segment figurant dans leurs rapports annuels n'est pas suffisamment
pour faciliter l'évaluation des revenus verts.",Autre,N,N,O,O,N,Énergie non renouvelable/Produits Vice/Armes/Controverses,N,https://www.ftserussell.com/,,Olivier.Mampouya@lseg.com ,,"18 rue du 4 Septembre, 75002 Paris, FRANCE
London, 10 Paternoster Square, EC4M 7LS London / +44 (0) 20 7866 1810",,,"Mail envoyé le 21/03/2021 Pas de contact précis => voir avec Romain BERROU si accès ""académiques"" possibles",,Romain Berrou,Soukaina TAZROUTI,Fini,O,,O,Soukaina Tazrouti,O,O,O,PDF,,N,N,N,N,N,,,,Indice,N,N,O,,"Quotidiennement et Rééquilibrage une fois par mois, à la fin du mois---Chaque mois, les composantes de l'indice du mois suivant sont ""fixées"" à la date de fixation du profil.
Les dates de fixation prévues pour chaque année sont publiées sur le site web.",N,Monde,Compagnies,N,"December 31, 2001",2020,O,O,N,Documentation envoyée -->OK,N,N,N,N,N,N,N,N,N,N,N,N,N,N,O,,,,,N,N,N,N,N,O,N,,N,N,N,KO,KO,KO,#REF!,,"Pas d'chantillon de données envoyé, plutôt des documentations qui expliquent la méthodologie"
7.08%,99,,GeoIDE,,,1,,,,,,,,,Georisque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
46.02%,100,,Géorisque,"Le ministère de l’Écologie a mis en ligne le site internet, GéoRisques. http://georisques.gouv.fr/

Le portail a été réalisé en partenariat avec le Bureau de recherches géologiques et minières(BRGM).
GeoRisques a été conçu pour faciliter l’utilisation et le partage des données et des informations cartographiques sur les risques pour tous les publics : risques naturels (inondations, séisme, mouvement de terrain, argiles, avalanches…) et technologiques (usines à risques, nucléaire, sols pollués…). Des interfaces spécifiques permettant d’identifier facilement les risques ou bien de naviguer sur une carte interactive en superposant plus d’une centaine de cartes, des dossiers thématiques contenant des informations plus spécialisées et techniques sur les risques.",https://www.georisques.gouv.fr/,9,France,France,Administration publique,2014,NC,1-10 employés,Public,Administration publique,Ministère de la Transition écologique,TRI (Territoire à Risques important d'innondations),"Ce jeu de données correspond aux Territoires à Risques important d'Inondation (TRI) - version 2 (millésime 2020). Les données ont été élaborées selon le standard Directive Inondation v2.
Le jeu de données est composé :
- des zonages de gestion ;
- de zonages de surfaces inondable ;
- de zonages de hauteurs d'eau ;
- des différents enjeux du territoire ;
etc.",Moyenne,Basse,Open Data,1,0,France,Statistiques officielles,Physique,N,O,N,N,N,N,N,https://www.georisques.gouv.fr/donnees/bases-de-donnees/zonages-inondation-rapportage-2020,,Sans objet,,Sans objet,,,Sans objet,Sans objet,Sarah Daymier,Sarah Daymier,Fini,Sans objet,"RETENU - Datamart ""Georisque"" en cours de création",Open Data,Asmynour Youssouf,N,N,N,Shapefile ,,,,,,,,,,Data,,,,2020,,,France,Département,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
45.13%,101,,Géorisque,"Le ministère de l’Écologie a mis en ligne le site internet, GéoRisques. http://georisques.gouv.fr/

Le portail a été réalisé en partenariat avec le Bureau de recherches géologiques et minières(BRGM).
GeoRisques a été conçu pour faciliter l’utilisation et le partage des données et des informations cartographiques sur les risques pour tous les publics : risques naturels (inondations, séisme, mouvement de terrain, argiles, avalanches…) et technologiques (usines à risques, nucléaire, sols pollués…). Des interfaces spécifiques permettant d’identifier facilement les risques ou bien de naviguer sur une carte interactive en superposant plus d’une centaine de cartes, des dossiers thématiques contenant des informations plus spécialisées et techniques sur les risques.",https://www.georisques.gouv.fr/,9,France,France,Administration publique,2014,NC,1-10 employés,Public,Administration publique,Ministère de la Transition écologique,innondations par remontées de nappes,Innondation par remontée de nappes,Moyenne,Basse,Open Data,1,0,France,Statistiques officielles,Physique,N,O,N,N,N,N,N,https://www.georisques.gouv.fr/donnees/bases-de-donnees/inondations-par-remontee-de-nappes,,Sans objet,,Sans objet,,,Sans objet,Sans objet,Sarah Daymier,Sarah Daymier,Fini,Sans objet,"RETENU - Datamart ""Georisque"" en cours de création",Open Data,Asmynour Youssouf,O,O,O,Shapefile ,,,,,,,,,,Data,,,,,,,France,Nationale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
45.13%,102,,Géorisque,"Le ministère de l’Écologie a mis en ligne le site internet, GéoRisques. http://georisques.gouv.fr/

Le portail a été réalisé en partenariat avec le Bureau de recherches géologiques et minières(BRGM).
GeoRisques a été conçu pour faciliter l’utilisation et le partage des données et des informations cartographiques sur les risques pour tous les publics : risques naturels (inondations, séisme, mouvement de terrain, argiles, avalanches…) et technologiques (usines à risques, nucléaire, sols pollués…). Des interfaces spécifiques permettant d’identifier facilement les risques ou bien de naviguer sur une carte interactive en superposant plus d’une centaine de cartes, des dossiers thématiques contenant des informations plus spécialisées et techniques sur les risques.",https://www.georisques.gouv.fr/,9,France,France,Administration publique,2014,NC,1-10 employés,Public,Administration publique,Ministère de la Transition écologique,BDMvt,Mouvement de terrain,Moyenne,Basse,Open Data,1,0,France,Statistiques officielles,Physique,N,O,N,N,N,N,N,https://www.georisques.gouv.fr/donnees/bases-de-donnees/base-de-donnees-mouvements-de-terrain,,Sans objet,,Sans objet,,,Sans objet,Sans objet,Sarah Daymier,Sarah Daymier,Fini,Sans objet,"RETENU - Datamart ""Georisque"" en cours de création",Open Data,Asmynour Youssouf,O,O,O,CSV,,,,,,,,,,Data,,,,,,,France,Nationale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
47.79%,103,,Géorisque,"Le ministère de l’Écologie a mis en ligne le site internet, GéoRisques. http://georisques.gouv.fr/

Le portail a été réalisé en partenariat avec le Bureau de recherches géologiques et minières(BRGM).
GeoRisques a été conçu pour faciliter l’utilisation et le partage des données et des informations cartographiques sur les risques pour tous les publics : risques naturels (inondations, séisme, mouvement de terrain, argiles, avalanches…) et technologiques (usines à risques, nucléaire, sols pollués…). Des interfaces spécifiques permettant d’identifier facilement les risques ou bien de naviguer sur une carte interactive en superposant plus d’une centaine de cartes, des dossiers thématiques contenant des informations plus spécialisées et techniques sur les risques.",https://www.georisques.gouv.fr/,9,France,France,Administration publique,2014,NC,1-10 employés,Public,Administration publique,Ministère de la Transition écologique,GASPAR,"Ce jeu de données correspond aux procédures administratives relatives aux risques (BD GASPAR), mises à jour directement par les services instructeurs départementaux, réunissent des informations sur les documents d'information préventive ou à portée réglementaire :
    => les plans de prévention des risques naturels et assimilés et technologiques ;
    => les procédures de type ""Reconnaissance de l'état de catastrophes naturelles"", actualisés dans les 30 jours après leur parution au Journal Officiel ;
    => les documents d'information préventive :
    => dossier de Transmission d'Information au Maire (TIM) ;
    => document d'Information Communal des populations sur les Risques Majeurs (DICRIM) ;
    => Plan Communal de Sauvegarde (PCS) ;
    => Atlas des Zones Inondables (AZI).",Moyenne,Basse,Open Data,1,0,France,Statistiques officielles,Physique,N,O,N,N,N,N,N,https://www.georisques.gouv.fr/donnees/bases-de-donnees/base-gaspar,,Sans objet,,Sans objet,,,Sans objet,Sans objet,Sarah Daymier,Sarah Daymier,Fini,Sans objet,"RETENU - Datamart ""Georisque"" en cours de création",Open Data,Asmynour Youssouf,O,O,O,CSV,,,,,,,,,,Data,,,,2018,,,France,Nationale / Département,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,
